stop_id,stop_name,stop_lon,stop_lat
PF-042,Av. Boulevard con Fundadores,-71.56467127399998,-33.126138313999945
PF-041,Av. Boulevard con Pedro de Valdivia,-71.56557930099996,-33.12692146699993
PR-V-124,Av. Brasil esq. Av. Argentina,-71.60580540799998,-33.04415808699997
PR-V-419,Av. Cabriteria Norte esq. Las Palmas,-71.56105204799996,-33.057909252999934
PR-V-416,Av. Cabriteria Norte esq. Palma Chilena,-71.56010942099994,-33.05743039799995
PR-O-057,Av. Cajon Grande esq. El Olivo,-71.14057241099994,-32.99450042199993
PR-O-056,Av. Cajon Grande esq. Las Rosas,-71.14661023999997,-32.99298417299997
PR-V-023,Av. Cardenal Samae esq. El Sauce,-71.57768078199996,-33.11284620599997
PR-V-037,Av. Cardenal Samore esq. Av. Blvd. Curauma,-71.56875591899995,-33.12847658499993
PR-V-040,Av. Cardenal Samore esq. Av. Curauma Norte,-71.57063448499997,-33.126235734999966
PR-V-039,Av. Cardenal Samore esq. Av. Obispo Valdes Subercaseaux,-71.57398252899998,-33.119477023999934
PR-M-572,Av. Cardenal Samore esq. Eduardo Titus,-71.50688823399997,-33.03444525899994
PR-M-568,Av. Cardenal Samore esq. Pasaje Ninhue,-71.50345993899998,-33.02713215799997
PR-M-569,Av. Cardenal Samore esq. Pasaje Yerbas Buenas,-71.50334526799998,-33.027687415999935
PR-M-571,Av. Cardenal Samore esq. Pio Xii,-71.50942667799995,-33.031885504999934
PR-V-038,Av. Cardenal Samore esq. Primera Del Sur,-71.57615515199996,-33.11553713899997
PR-M-570,Av. Cardenal Samore esq. Talcahuano,-71.50436531499997,-33.03104160899994
PR-M-261,Av. Carlos Ibanez Del Campo esq. Av. Alessandri,-71.50933557499997,-33.00008769599998
PR-M-155,Av. Carlos Ibanez Del Campo esq. Calafquen,-71.50890025099994,-33.005991381999934
PR-M-157,Av. Carlos Ibanez Del Campo esq. Calafquen,-71.50958229499997,-33.00528937299998
PR-M-476,Av. Carlos Ibanez Del Campo esq. Escala Los Ranunculos,-71.49959159299993,-33.01507149099996
PR-M-163,Av. Carlos Ibanez Del Campo esq. Huelen,-71.50280829099995,-33.01161188499998
PR-M-477,Av. Carlos Ibanez Del Campo esq. Las Azucenas,-71.50253582899995,-33.01009175499996
PR-M-507,Av. Carlos Ibanez Del Campo esq. Las Orquideas,-71.50035868199996,-33.01349722599997
PR-M-263,Av. Carlos Ibanez Del Campo esq. Los Crisantemos,-71.50979119399994,-33.001007509999965
PR-M-337,Av. Carlos Ibanez Del Campo esq. Los Geranios,-71.50954479799998,-33.00291754999995
PR-M-256,Av. Carlos Ibanez Del Campo esq. Los Jacintos,-71.51000845799996,-33.00298782099998
PR-M-433,Av. Carlos Ibanez Del Campo esq. Los Papiros,-71.49978285399999,-33.01700607299995
PR-M-260,Av. Carlos Ibanez Del Campo esq. Los Tulipanes,-71.50579681899995,-33.008228377999956
PR-M-158,Av. Carlos Ibanez Del Campo esq. Luis Ayala,-71.50410455699995,-33.01021914399996
PR-M-85,Av. Con Con esq. Calle 4,-71.53920086199997,-33.007961301999956
